Attribute name,Type,Default value,mandatory
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_TTL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_EXP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_BOS,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_FDB_DST_USER_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ROUTE_DST_USER_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_NEIGHBOR_DST_USER_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_PORT_USER_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_VLAN_USER_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ACL_USER_META,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_FDB_NPU_META_DST_HIT,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_NEIGHBOR_NPU_META_DST_HIT,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ROUTE_NPU_META_DST_HIT,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_BTH_OPCODE,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_AETH_SYNDROME,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_USER_DEFINED_FIELD_GROUP_MIN,sai_object_id_t,SAI_NULL_OBJECT_ID,FALSE
SAI_ACL_TABLE_ATTR_USER_DEFINED_FIELD_GROUP_MAX,sai_object_id_t,SAI_NULL_OBJECT_ID,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ACL_RANGE_TYPE,sai_s32_list_t sai_acl_range_type_t,empty,FALSE
SAI_ACL_TABLE_ATTR_FIELD_IPV6_NEXT_HEADER,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_GRE_KEY,bool,FALSE,FALSE
